,Day,Month,Year,Hour,Minute,Seconds,Tweet,Location,Favourite Count,Source of Tweet
0,03,01,2019,02,45,43,b'rt @canadianthyroid: uk tortures #thyroid patients. taking t3 from patients with #hypot3ism is like stealing insulin from type 1 #diabetes.',"Ontario, Canada",0,Twitter for iPhone
1,03,01,2019,02,42,43,"b'who wants to read my f.a.q. page? no pressure, only if you really want to! #t1d #diabetes\nhttps://t.co/7svvtcqvf7'","Los Angeles, CA",0,Twitter Web Client
2,03,01,2019,02,40,06,"b""2/2 it, either. diabetes wins almost all the time. play nice, do what it takes to be healthy and happy. and don't be ashamed. don't throw it in people's face, but don't feel inferior. don't jump out of a plane, you have nothing to prove. you're fine. in a word? balance! #diabetes""","Los Angeles, CA",0,Twitter Web Client
3,03,01,2019,02,39,13,b'rt @avvenice1: villa sandi joined the avvenice project https://t.co/yjounqkvbv #villasandi #proseccoopere #opere #prosecco #spumante #venet',,0,Twitter Web Client
4,03,01,2019,02,38,19,"b'a massive happy new year 2019.\nwishing you all good health and well-being from the inspired diabetic lyndon wissart and team to you. \nive enjoyed being in the hearts of amazing events, radio and tv shows and being with some incredible people. #diabetes\nhttps://t.co/ymawsmdg9t https://t.co/dxviqesxxk'","High Wycombe, United Kingdom",0,Twitter for iPhone
5,03,01,2019,02,38,05,b'rt @mnt_diabetes: diabetes: drug duo helps body replenish its insulin-producing cells https://t.co/37jkvgejyu @mnt_diabetes #diabetes #beta',"New York, NY USA",0,Twitter for Android
6,03,01,2019,02,37,27,"b'rt @nhpindia: do you know who are most likely to be affected by #diabetes?\nread below.\nalso, visit: https://t.co/lurjmtssf3\n#swasthabharat'","Hyderabad, Andhra Pradesh",0,Twitter Lite
7,03,01,2019,02,36,42,b'rt @avvenice1: villa sandi joined the avvenice project https://t.co/yjounqkvbv #villasandi #proseccoopere #opere #prosecco #spumante #venet',,0,Twitter Web Client
8,03,01,2019,02,32,29,b'rt @avvenice1: villa sandi joined the avvenice project https://t.co/yjounqkvbv #villasandi #proseccoopere #opere #prosecco #spumante #venet',,0,Twitter Web Client
9,03,01,2019,02,30,03,"b'22% off - `#muffins and #rumballs - all truly low carb and delicious (and #kosher).\nyes, get 22% off now. why not? true low carb and diabetic-friendly bakery https://t.co/wohnqzjdsp or code: ny19 #lowcarb #keto #diabetes #weightcontrol#newyear https://t.co/6slpewdre2'","Brooklyn, NY",0,eClincher
10,03,01,2019,02,28,10,b'apabetalone - billion dollar blockbuster in the making? https://t.co/mifob8svjb #resverlogix #diabetes $rvx.ca $rvxcf #epigenetics #bromodomain #betinhibition #betinhibitor',Canada,0,Twitter Web Client
11,03,01,2019,02,25,03,b'the science behind behavior change: how to make those #resolutions last #healthy #2019 #diabetes https://t.co/nezrt0dbyn https://t.co/qksw5qtzub',"South Carolina, USA",1,Hootsuite Inc.
12,03,01,2019,02,25,03,b'.#mediterraneandiet named best way to eat in 2019\nhttps://t.co/evx0soxgq0\n#health #nutrition #weightloss #diabetes #hearthealth #cancer #aging #diet https://t.co/4rdpakxbyk',,1,TweetDeck
13,03,01,2019,02,22,10,"b'rt @annalsofim: if your resolution is to lose weight, @usnews ranks the #mediterranean diet as one of the #bestdiets of 2019. as an added b'",,0,Twitter for Android
14,03,01,2019,02,21,27,b'im your huckleberry #doc',"Corpus Christi, TX",1,Twitter for iPhone
